C IV		478.548		
C IV		478.587		
C IV		478.637		
C IV		478.890		
C IV		478.979		
C V		500.657		
C IV		501.662		
C IV		501.840		
C IV	580.133	580.131	250	
C IV	581.198	581.197	200	
C II	657.805	657.805	800	
C II	658.288	658.288	570	
C IV		659.153		
C IV		659.257		
C II	723.132	723.133	800	
C II	723.642	723.642	1000	
C II		723.717		
C IV		794.662		
C IV		794.738		
C IV		794.814		
C I	833.515	833.515	520	
C IV		837.922		
C IV		838.196		
C V		842.072		
C V		844.812		
C V		844.919		
C I	940.573	940.573	800	
C III		970.110		
C III		970.541		
C III		970.644		
C III		971.509		
C III		971.775		
C III		971.879		
Ca III	200.0895	200.08954	1400	
Ca III	200.2987	200.2986	1100	
Ca III	201.8697	201.86956	1300	
Ca III	202.6050	202.60553	1000	
Ca III	203.3358	203.3358	1700	
Ca III	204.5803	204.57991	1300	
Ca III	204.6819	204.68184	1000	
Ca III	204.7193	204.71906	700	
Ca III	206.2155	206.2156	700	
Ca III	207.4841	207.48422	700	
Ca III	207.8916	207.8910	2100	
Ca III	209.8497	209.8495	2100	
Ca III	211.4413	211.4407	3400	
Ca III	212.3029	212.3019	5000	
Ca III	212.9191	212.9188	2600	
Ca III	213.3953	213.39506	2500	
Ca III	214.0359	214.0354	1900	
Ca III	215.2435	215.2430	4000	
Ca III	216.3416	216.34130	800	
Ca III	217.1322	217.13137	800	
Ca III	217.1566	217.15628	1400	
Ca III	217.8584	217.8586	1100	
Ca III	218.2014	218.2017	800	
Ca III	220.2404	220.2408	800	
Ca III	220.4315	220.43139	1000	
Ca III	227.6512	227.6513	1300	
Ca III	228.1468	228.1471	39	
Ca III	229.8335	229.8335	70h	
Ca III	231.0796	231.0800	700	
Ca III	231.2076	231.2074	2700	
Ca III	232.1239	232.1239	180h	
Ca III	232.3329	232.3329	150h	
Ca III	233.5126	233.5126	70h	
Ca III	233.8654	233.8654	110h	
Ca III	234.1546	234.1544	22h	
Ca III	234.3796	234.3796	22h	
Ca III	235.1353	235.1363	700	
Ca III	235.5344	235.5344	70h	
Ca III	235.6632	235.6632	140h	
Ca III	239.3164	239.3172	900	
Ca III	243.1082	243.1091	700	
Ca III	244.2551	244.2550	900	
Ca III	247.0292	247.0287	800	
Ca III	247.2541	247.2533	900	
Ca III	249.3517	249.3520	800	
Ca III	249.7736	249.77328	1500	
Ca III	254.1498	254.1499	3200	
Ca III	262.0817	262.0813	2500	
Ca III	263.4139	263.4136	2500	
Ca III	265.5382	265.5383	380	
Ca III	268.7764	268.7764	3500	
Ca III	270.4859	270.4858	2500	
Ca III	275.1798	275.1798	150h	
Ca III	276.4095	276.4095	180h	
Ca III	277.1277	277.1275	1600	
Ca III	279.1590	279.1587	2100	
Ca III	279.6346	279.6346	450h	
Ca III	279.7203	279.7203	280h	
Ca III	279.9386	279.9386	350h	
Ca III	281.3877	281.3879	3300	
Ca III	281.5391	281.5391	290h	
Ca III	281.8540	281.8540	290h	
Ca III	282.0573	282.0573	360h	
Ca III	282.4116	282.4116	240h	
Ca III	282.8001	282.8001	240h	
Ca III	284.3169	284.3169	300h	
Ca III	284.5058	284.5058	370h	
Ca III	286.6538	286.6539	3500	
Ca III	286.9945	286.9943	5000	
Ca III	288.1782	288.1782	6000	
Ca III	289.9785	289.9785	14000	
Ca III	292.4326	292.4331	7000	
Ca III	298.8630	298.8627	6000	
Ca III	298.9274	298.9276	4200	
Ca III	302.8586	302.8583	3000	
Ca III	311.9665	311.9667	7000	
Ca XII		332.78		
Ca III	337.2671	337.2679	10000	
Ca III	353.7770	353.7777	2600	
Ca III	393.0870	393.0884	90	
Ca III	403.8508	403.8502	160	
Ca III	407.1362	407.1362	41	
Ca XIII		408.72		
Ca III	413.6247	413.6247	390	
Ca III	413.7084	413.7043	47	
Ca III	415.3565	415.3566	500	
Ca III	416.4310	416.4302	430	
Ca III	417.5652	417.5650	410	
Ca III	418.4201	418.4200	500	
Ca III	420.4611	420.4615	70	
Ca III	420.7235	420.7216	800	
Ca III	421.1609	421.1614	70	
Ca III	421.3144	421.3132	400	
Ca I	422.673	422.6728	50	
Ca III	422.815	422.8155	110h	
Ca III	423.3737	423.3736	700	
Ca III	424.0742	424.0742	600	
Ca III	425.6626	425.6645	70	
Ca III	427.1896	427.189	410	
Ca III	427.3881	427.3875	200	
Ca III	427.8209	427.8215	270	
Ca III	427.8890	427.882	43	
Ca III	427.9723	427.9722	360	
Ca III	428.3571	428.363	35	
Ca III	428.4388	428.4388	500	
Ca III	429.0069	429.0071	280	
Ca III	429.5571	429.5566	70	
Ca III	430.1005	430.101	240	
Ca III	430.1494	430.1494	290	
Ca III	430.2804	430.2803	800	
Ca III	432.9185	432.9182	490	
Ca III	433.2065	433.2076	41	
Ca III	433.3567	433.3566	480	
Ca III	434.0343	434.0345	80	
Ca III	434.4817	434.4808	34	
Ca III	435.8379	435.8366	410	
Ca III	438.2997	438.2993	25	
Ca III	439.3109	439.3099	33	
Ca III	439.9594	439.9584	800	
Ca III	440.6291	440.6286	700	
Ca III	443.1298	443.1290	600	
Ca III	448.4396	448.4402	70	
Ca III	448.4950	448.4948	150	
Ca III	449.9884	449.9885	1000	
Ca III	450.5131	450.5127	31	
Ca III	451.2911	451.2912	60	
Ca III	451.6585	451.6586	700	
Ca III	455.3295	455.3291	70	
Ca III	457.2124	457.2125	700	
Ca III	463.2869	463.2855	80	
Ca III	470.8829	470.8836	150	
Ca III	471.6269	471.6287	130	
Ca III	473.6681	473.6673	60	
Ca III	482.7263	482.7250	36	
Ca III	485.1929	485.1932	70	
Ca III	485.9167	485.9165	90	
Ca III	488.9826	488.9823	70	
Ca III	489.9306	489.9308	43	
Ca III	491.9266	491.9279	70	
Ca III	495.0527	495.057	70	
Ca III	500.8945	500.8939	90	
Ca III	504.6917	504.6923	60	
Ca III	505.0071	505.0089	80	
Ca III	506.3722	506.3721	60	
Ca III	508.3177	508.3183	38	
Ca III	511.2980	511.2982	38	
Ca III	513.7730	513.7727	60	
Ca III	520.1353	520.1352	45	
Ca III	523.1815	523.1814	70	
Ca III	524.7373	524.7373	100	
Ca III	527.1981	527.1979	170	
Ca III	529.7529	529.7533	34	
Ca III	530.1321	530.1323	70	
Ca III	532.1288	532.1287	90	
Ca III	532.6153	532.6146	22	
Ca III	532.8063	532.8057	70	
Ca III	533.3652	533.3654	33	
Ca III	535.0730	535.0731	41	
Ca III	535.4237	535.4256	41	
Ca III	537.5470	537.5456	41	
Ca XV		544.644		
Ca III	548.0010	548.0011	49	
Ca III	550.1630	550.1622	30	
Ca III	552.0304	552.0311	37	
Ca III	557.0583	557.0601	80	
Ca III	557.9059	557.9076	60	
Ca III	561.3997	561.4009	10	
Ca III	565.0014	565.0024	22	
Ca III	566.3582	566.367	27	
Ca XV		569.444		
Ca III	569.4646	569.4683	34	
Ca III	584.8488	584.8501	11	
Ca III	604.6152	604.6173	37	
Ca III	606.9978	606.9998	110	
Ca III	612.0111	612.0112	36	
Ca III	617.3217	617.3216	45	
Ca III	621.3979	621.3997	80	
Ca III	622.5379	622.5385	26	
Ca III	627.9785	627.9796	33	
Ca III	629.4885	629.4886	60	
Ca III	637.0113	637.0113	60	
Ca III	638.7552	638.7545	42	
Ca III	642.4509	642.4526	70	
Ca III	643.1971	643.1974	32	
Ca III	648.5348	648.5337	70	
Ca III	653.8778	653.8784	40	
Ca III	654.2236	654.2246	40	
Ca III	659.9648	659.9652	30	
Ca III	686.5120	686.5106	6	
Ca III	688.1475	688.1461	9	
Ca III	694.5506	694.5505	14	
Ca III	706.472	706.473	18	
Ca III	730.869	730.8681	39	
Ca III	744.600	744.6007	8	
Ca III	756.850	756.848	20	
Ca III	767.898	767.8962	17	
Ca III	769.338	769.3339	21	
Ca III	777.714	777.7104	15	
Ca III	779.460	779.4609	18	
Ca III	781.857	781.8530	12	
Ca III	783.071	783.070	38	
Ca III	784.306	784.307	50	
Ca III	784.954	784.954	19	
Ca III	789.846	789.8419	90	
Ca III	799.357	799.353	6h	
Ca III	805.123	805.122	18	
Ca III	807.421	807.418	23	
Ca III	810.365	810.359	19	
Ca III	811.899	811.898	16	
Ca III	814.106	814.103	11	
Ca III	815.407	815.399	7	
Ca III	819.534	819.534	21	
Ca III	820.861	820.858	11	
Ca III	821.720	821.719	70l	
Ca III	825.269	825.264	12	
Ca III	825.983	825.977	12	
Ca III	850.550	850.549	11H	
Ca III	863.277	863.272	50	
Ca III	920.640	920.634	17h	
Ca III	943.253	943.254	180	
Ca III	963.880	963.883	80	
Cl VII		217.88		
Cl VII		221.20		
Cl IV		311.866		
Cl III		334.2799		
Cl III		335.3174		
Cl II		367.7855		
Cl I	420.967	420.9665	65	
Cl I	422.642	422.6426	50	
Cl I	426.458	426.4580	60	
Cl I		432.3335		
Cl I	436.950	436.9498	100	
Cl I		437.1544		
Cl I		438.7558		
Cl I	439.040	439.0403	90	
Cl I		440.2520		
Cl I	447.530	447.5304	90	
Cl I		449.1032		
Cl I	452.619	452.6182	100	
Cl I	460.098	460.0977	80	
Cl I	462.3938	462.3938	40	
Cl I	465.4040	465.4041	50	
Cl I	466.1208	466.1208	80	
Cl I		467.4536		
Cl I		467.7765		
Cl I	469.1523	469.1523	45	
Cl I	472.1255	472.1255	40	
Cl I	474.0729	474.0729	45	
Cl II	479.455	479.4556	99000	
Cl II	481.006	481.0070	29000	
Cl II	481.947	481.9480	16000	
Cl I		485.2706		
Cl I		497.6619		
Cl II	521.794	521.7945	56000	
Cl II	522.136	522.1362	23000	
Cl III		551.7709		
Cl III		553.7873		
Cl II		616.184		
Cl IX		733.5		
Cl IV		753.054		
Cl I	774.497	774.4970	10000	
Cl IV		804.563		
Cl III		843.366		
Cl III		843.366		
Cl III		848.086		
Cl III		848.086		
Cl III		850.001		
Cl III		850.001		
Cl III		854.796		
Cl II		857.870		
Cl II		912.360		
Cl X		921.7		
Cl X		921.7		
Cr II	205.559869	205.559868	3200	
Cr II	206.157673	206.157673	2500	
Cr II	206.550389	206.550391	1700	
Cr XXIV		272.8		
Cr XXIV		280.6		
Cr I	298.07900	298.078995	240	
Cr I	299.87845	299.878437	220	
Cr I	301.5197	301.51968	50r	
Cr I	302.1559	302.15582	23.6	
Cr I	302.4350	302.434830	8.9	
